"","text","label"
"37","Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705","spam"
"38","Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.","spam"
"39","ö got wat to buy tell us then Å no need to come in again.","ham"
"40","Your free ringtone is waiting to be collected. Simply text the password MIX to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16","spam"
"41","Until 545 lor... Ya, can go 4 dinner together...","ham"
"42","ö log off 4 wat. It's sdryb8i","ham"
"43","Orange brings you ringtones from all time Chart Heroes, with a free hit each week! Go to Ringtones & Pics on wap. To stop receiving these tips reply STOP.","spam"
"44","Think ur smart ? Win ù200 this week in our weekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week","spam"
"45","Hey gals...U all wanna meet 4 dinner at nÿte?","ham"
"46","Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705","spam"
"47","He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.","ham"
"48","ö still got lessons?  ö in sch?","ham"
"49","Hi Jon, Pete here, Ive bin 2 Spain recently & hav sum dinero left, Bill said u or ur ?rents mayb interested in it, I hav 12,000pes, so around ù48, tb, James.","ham"
"50","I have no money 4 steve mate! !","ham"
"51","Please call our customer service representative on FREEPHONE 0808 145 4742 between 9am-11pm as you have WON a guaranteed ù1000 cash or ù5000 prize!","spam"
"52","Then u ask darren go n pick u lor... But i oso sian tmr haf 2 meet lect...","ham"
"53","Are you comingdown later?","ham"
"54","URGENT! This is the 2nd attempt to contact U!U have WON ù1000CALL 09071512432 b4 300603t&csBCM4235WC1N3XX.callcost150ppmmobilesvary. maxù7. 50","spam"
"55","How come she can get it? Should b quite diff to guess rite...","ham"
"56","Do Å all wan 2 meet up n combine all the parts? How's da rest of da project going?","ham"
"57","4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs","spam"
"58","Hey... What time is your driving on fri? We go for evaluation on fri?","ham"
"59","At home also.","ham"
"60","Kent vale lor... ö wait 4 me there ar?","ham"
"61","URGENT We are trying to contact you Last weekends draw shows u have won a ù1000 prize GUARANTEED Call 09064017295 Claim code K52 Valid 12hrs 150p pm","spam"
"62","ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+","spam"
"63","Sat right? Okay thanks...","ham"
"64","Then she dun believe wat?","ham"
"65","Ard 515 like dat. Y?","ham"
"66","Free any day but i finish at 6 on mon n thurs...","ham"
"67","WOT STUDENT DISCOUNT CAN U GET ON BOOKS?","ham"
"68","U GOIN OUT 2NITE?","ham"
"69","Ok","ham"
"70","Thinking of u ;) x","ham"
"71","Yup having my lunch buffet now.. U eat already?","ham"
"72","Dear U've been invited to XCHAT. This is our final attempt to contact u! Txt CHAT to 86688","spam"
"73","Ok... Let u noe when i leave my house.","ham"
"74","Shop till u Drop, IS IT YOU, either 10K, 5K, ù500 Cash or ù100 Travel voucher, Call now, 09064011000. NTT PO Box CR01327BT fixedline Cost 150ppm mobile vary","spam"
"75","HOT LIVE FANTASIES call now 08707500020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call","spam"
"76","You have WON a guaranteed ù1000 cash or a ù2000 prize.To claim yr prize call our customer service representative on","spam"
"77","I emailed yifeng my part oredi.. Can Å get it fr him..","ham"
"78","Ok... Then r we meeting later?","ham"
"79","Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?","ham"
"80","FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com","spam"
"81","Cos darren say Å considering mah so i ask Å...","ham"
"82","Kaiez... Enjoy ur tuition... Gee... Thk e second option sounds beta... I'll go yan jiu den msg u...","ham"
"83","Then i buy.","ham"
"84","ö collecting ur laptop then going to configure da settings izzit?","ham"
"85","DO U WANT 2 MEET UP 2MORRO","ham"
"86","Ok lor...","ham"
"87","Oh thats late! Well have a good night and i will give u a call tomorrow. Iam now going to go to sleep night night","ham"
"88","IM GONNAMISSU SO MUCH!!I WOULD SAY IL SEND U A POSTCARD BUTTHERES ABOUTAS MUCH CHANCE OF MEREMEMBERIN ASTHERE IS OFSI NOT BREAKIN HIS CONTRACT!! LUV Yaxx","ham"
"89","Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min","spam"
"90","REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode","spam"
"91","But i juz remembered i gotta bathe my dog today..","ham"
"92","URGENT! We are trying to contact U. Todays draw shows that you have won a ù800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only","spam"
"93","Yunny... I'm goin to be late","ham"
"94","East coast","ham"
"95","If i not meeting Å all rite then i'll go home lor. If Å dun feel like comin it's ok.","ham"
"96","Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records","spam"
"97","After my work ah... Den 6 plus lor... U workin oso rite... Den go orchard lor, no other place to go liao...","ham"
"98","Yeah it's jus rite...","ham"
"99","No break time one... How... I come out n get my stuff fr Å?","ham"
"100","DO NOT B LATE LOVE MUM","ham"
"101","Ok lor... Or u wan me go look 4 u?","ham"
"102","HI DARLIN IVE JUST GOT BACK AND I HAD A REALLY NICE NIGHT AND THANKS SO MUCH FOR THE LIFT SEE U TOMORROW XXX","ham"
"103","Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb u liao.","ham"
"104","Yup ok...","ham"
"105","Sez, hows u & de arab boy? Hope u r all good give my love 2 evry1 love ya eshxxxxxxxxxxx","ham"
"106","Todays Vodafone numbers ending with 4882 are selected to a receive a ù350 award. If your number matches call 09064019014 to receive your ù350 award.","spam"
"107","Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.","ham"
"108","Ok that's great thanx a lot.","ham"
"109","Oh ok no prob..","ham"
"110","EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN ù100 Cash WKENT/150P16+","spam"
"111","Huh? 6 also cannot? Then only how many mistakes?","ham"
"112","I'm home. Ard wat time will u reach?","ham"
"113","Do Å noe if ben is going?","ham"
"114","it to 80488. Your 500 free text messages are valid until 31 December 2005.","spam"
"115","Yup... Ok i go home look at the timings then i msg Å again... Xuhui going to learn on 2nd may too but her lesson is at 8am","ham"
"116","Wow so healthy. Old airport rd lor. Cant thk of anything else. But i'll b bathing my dog later.","ham"
"117","Got c... I lazy to type... I forgot Å in lect... I saw a pouch but like not v nice...","ham"
"118","Nite nite pocay wocay luv u more than n e thing 4eva I promise ring u 2morrowxxxx","ham"
"119","Darren was saying dat if u meeting da ge den we dun meet 4 dinner. Cos later u leave xy will feel awkward. Den u meet him 4 lunch lor.","ham"
"120","SHIT BABE.. THASA BIT MESSED UP.YEH, SHE SHUDVETOLD U. DID URGRAN KNOW?NEWAY, ILLSPEAK 2 U2MORO WEN IM NOT ASLEEP...","ham"
"121","Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx","ham"
"122","I'm in town now so i'll jus take mrt down later.","ham"
"123","This is the 2nd time we have tried 2 contact u. U have won the ù750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.","spam"
"124","Is ur paper in e morn or aft tmr?","ham"
"125","UR GOING 2 BAHAMAS! CallFREEFONE 08081560665 and speak to a live operator to claim either Bahamas cruise ofù2000 CASH 18+only. To opt out txt X to 07786200117","spam"
"126","I havent add Å yet right..","ham"
"127","ö called dad oredi...","ham"
"128","We not leaving yet. Ok lor then we go elsewhere n eat. U thk...","ham"
"129","Ok. But i finish at 6.","ham"
"130","Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=","spam"
"131","Ha... Then we must walk to everywhere... Cannot take tram. My cousin said can walk to vic market from our hotel","ham"
"132","Anytime...","ham"
"133","Wat uniform? In where get?","ham"
"134","HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG","ham"
"135","Dun b sad.. It's over.. Dun thk abt it already. Concentrate on ur other papers k.","ham"
"136","Yup ok...","ham"
"137","ö takin linear algebra today?","ham"
"138","Babes I think I got ur brolly I left it in English wil bring it in 2mrw 4 u luv Franxx","ham"
"139","Wat makes u thk i'll fall down. But actually i thk i'm quite prone 2 falls. Lucky my dad at home i ask him come n fetch me already.","ham"
"140","IM REALY SOZ IMAT MY MUMS 2NITE WHAT ABOUT 2MORO","ham"
"141","Phony ù350 award - Todays Voda numbers ending XXXX are selected to receive a ù350 award. If you have a match please call 08712300220 quoting claim code 3100 standard rates app","spam"
"142","Haha mayb u're rite... U know me well. Da feeling of being liked by someone is gd lor. U faster go find one then all gals in our group attached liao.","ham"
"143","URGENT! You have won a 1 week FREE membership in our ù100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","spam"
"144","Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030","spam"
"145","Huh so early.. Then Å having dinner outside izzit?","ham"
"146","I'm going 2 orchard now laready me reaching soon. U reaching?","ham"
"147","Is toshiba portege m100 gd?","ham"
"148","U 447801259231 have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094597","spam"
"149","When can Å come out?","ham"
"150","I'm nt goin, got somethin on, unless they meetin 4 dinner lor... Haha, i wonder who will go tis time...","ham"
"151","Dunno cos i was v late n when i reach they inside already... But we ate spageddies lor... It's e gals who r laughing at me lor...","ham"
"152","I gotta collect da car at 6 lei.","ham"
"153","Yeh. Indians was nice. Tho it did kane me off a bit he he. We shud go out 4 a drink sometime soon. Mite hav 2 go 2 da works 4 a laugh soon. Love Pete x x","ham"
"154","Yup but not studying surfing lor. I'm in e lazy mode today.","ham"
"155","Then u going ikea str aft dat?","ham"
"156","ö comin to fetch us oredi...","ham"
"157","HAPPY NEW YEAR MY NO.1 MAN","ham"
"158","I'm not driving... Raining! Then i'll get caught at e mrt station lor.","ham"
"159","U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...","ham"
"160","HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX","ham"
"161","100 dating service cal;l 09064012103 box334sk38ch","spam"
"162","74355 XMAS iscoming & ur awarded either ù500 CD gift vouchers & free entry 2 r ù100 weekly draw txt MUSIC to 87066 TnC","spam"
"163","U coming 2 pick me?","ham"
"164","Then u drive lor.","ham"
"165","Nope i'm not drivin... I neva develop da photos lei...","ham"
"166","Is xy going 4 e lunch?","ham"
"167","Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.","ham"
"168","Okie Å wan meet at bishan? Cos me at bishan now. I'm not driving today.","ham"
"169","Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+","spam"
"170","Oh... Icic... K lor, den meet other day...","ham"
"171","Ok thanx...","ham"
"172","Nothin comes to my mind. ö help me buy hanger lor. Ur laptop not heavy?","ham"
"173","Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468","spam"
"174","Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","ham"
"175","U calling me right? Call my hand phone...","ham"
"176","I tot it's my group mate... Lucky i havent reply... Wat time do Å need to leave...","ham"
"177","I love u 2 my little pocy bell I am sorry but I love u","ham"
"178","Yup. Thk of u oso boring wat.","ham"
"179","NOT ENUFCREDEIT TOCALL.SHALL ILEAVE UNI AT 6 +GET A BUS TO YOR HOUSE?","ham"
"180","Congratulations ur awarded either ù500 of CD gift vouchers & Free entry 2 our ù100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com 1 win150ppmx3age16","spam"
"181","U know we watchin at lido?","ham"
"182","Call me when u finish then i come n pick u.","ham"
"183","Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...","ham"
"184","Depends on where u going lor.","ham"
"185","No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.","ham"
"186","ö all write or wat..","ham"
"187","Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX ù1.50","spam"
"188","Yun ah.now Å wkg where?btw if Å go nus sc. ö wana specialise in wad?","ham"
"189","Auntie huai juan never pick up her phone","ham"
"190","Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. ù1.50 SP:Tyrone","spam"
"191","Hey tmr maybe can meet you at yck","ham"
"192","December only! Had your mobile 11mths+? You are entitled to update to the latest colour camera mobile for Free! Call The Mobile Update Co FREE on 08002986906","spam"
"193","I;m reaching in another 2 stops.","ham"
"194","I wait 4 Å inside da car park...","ham"
"195","Sounds better than my evening im just doing my costume. Im not sure what time i finish tomorrow but i will txt you at the end.","ham"
"196","How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch","ham"
"197","No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info","spam"
"198","This is the 2nd time we have tried to contact u. U have won the ù400 prize. 2 claim is easy, just call 087104711148 NOW! Only 10p per minute. BT-national-rate","spam"
"199","You've won tkts to the EURO2004 CUP FINAL or ù800 CASH, to collect CALL 09058099801 b4190604, POBOX 7876150ppm","spam"
"200","7 at esplanade.. Do Å mind giving me a lift cos i got no car today..","ham"
"201","I only work from mon to thurs but Sat i cant leh... Booked liao... Which other day u free?","ham"
"202","In da car park","ham"
"203","Hi there, 2nights ur lucky night! Uve been invited 2 XCHAT, the Uks wildest chat! Txt CHAT to 86688 now! 150p/MsgrcvdHG/Suite342/2Lands/Row/W1J6HL LDN 18yrs","spam"
"204","URGENT. Important information for 02 user. Today is your lucky day! 2 find out why , log onto http://www.urawinner.com there is a fantastic surprise awaiting you !","spam"
"205","As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr","spam"
"206","I am going to sao mu today. Will be done only at 12","ham"
"207","Ok i thk i got it. Then u wan me 2 come now or wat?","ham"
"208","Okie","ham"
"209","ö ready then call me...","ham"
"210","YO YO YO BYATCH WHASSUP?","ham"
"211","Ok...","ham"
"212","MY NEW YEARS EVE WAS OK. I WENT TO A PARTY WITH MY BOYFRIEND. WHO IS THIS SI THEN HEY","ham"
"213","Of cos can lar i'm not so ba dao ok... 1 pm lor... Y u never ask where we go ah... I said u would ask on fri but he said u will ask today...","ham"
"214","You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p pù3.99","spam"
"215","Hey sorry I didntgive ya a a bellearlier hunny,just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx.","ham"
"216","07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow","spam"
"217","But i'm surprised she still can guess right lor...","ham"
"218","I know she called me","ham"
"219","Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTxt","spam"
"220","I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.","ham"
"221","Ok. Me watching tv too.","ham"
"222","My tuition is at 330. Hm we go for the 1120 to 1205 one? Do you mind?","ham"
"223","I'll be late...","ham"
"224","For ur chance to win a ù250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk","spam"
"225","Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase","spam"
"226","Hey so this sat are we going for the intro pilates only? Or the kickboxing too?","ham"
"227","Then ur sis how?","ham"
"228","Watch lor. I saw a few swatch one i thk quite ok. Ard 116 but i need 2nd opinion leh...","ham"
"229","Y bishan lei... I tot Å say lavender?","ham"
"230","HEY DAS COOL... IKNOW ALL 2 WELLDA PERIL OF STUDENTFINANCIAL CRISIS!SPK 2 U L8R.","ham"
"231","PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS)","ham"
"232","Okie but i scared u say i fat... Then u dun wan me already...","ham"
"233","Hi its Kate it was lovely to see you tonight and ill phone you tomorrow. I got to sing and a guy gave me his card! xxx","ham"
"234","09066362231 URGENT! Your mobile No 07xxxxxxxxx won a ù2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!","spam"
"235","U definitely need a module from e humanities dis sem izzit? U wan 2 take other modules 1st?","ham"
"236","I'll reach in ard 20 mins ok...","ham"
"237","Great News! Call FREEFONE 08006344447 to claim your guaranteed ù1000 CASH or ù2000 gift. Speak to a live operator NOW!","spam"
"238","I've sent Å my part..","ham"
"239","LORD OF THE RINGS:RETURN OF THE KING in store NOW!REPLY LOTR by 2 June 4 Chance 2 WIN LOTR soundtrack CDs StdTxtRate. Reply STOP to end txts","spam"
"240","Okay lor... Wah... like that def they wont let us go... Haha... What did they say in the terms and conditions?","ham"
"241","Ok... Help me ask if she's working tmr a not?","ham"
"242","ö dun wan to watch infernal affair?","ham"
"243","SplashMobile: Choose from 1000s of gr8 tones each wk! This is a subscrition service with weekly tones costing 300p. U have one credit - kick back and ENJOY","spam"
"244","Wah... Okie okie... Muz make use of e unlimited... Haha...","ham"
"245","Watching tv lor. Nice one then i like lor.","ham"
"246","What's ur pin?","ham"
"247","Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?","ham"
"248","Ok im not sure what time i finish tomorrow but i wanna spend the evening with you cos that would be vewy vewy lubly! Love me xxx","ham"
"249","Okie","ham"
"250","Been up to ne thing interesting. Did you have a good birthday? When are u wrking nxt? I started uni today.","ham"
"251","URGENT This is our 2nd attempt to contact U. Your ù900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893","spam"
"252","SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","spam"
"253","England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/£1.20 POBOXox36504W45WQ 16+","spam"
"254","I'm hungry buy smth home...","ham"
"255","We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT + free camcorder Reply of call 08000930705 Now","spam"
"256","Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt","ham"
"257","Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...","ham"
"258","Wat so late still early mah. Or we juz go 4 dinner lor. Aiya i dunno...","ham"
"259","Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop","spam"
"260","Oh... I was thkin of goin yogasana at 10 den no nd to go at 3 den can rush to parco 4 nb... Okie lor, u call me when ready...","ham"
"261","Shuhui has bought ron's present it's a swatch watch...","ham"
"262","Havent still waitin as usual... ö come back sch oredi?","ham"
"263","THAT?S ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DON?T WORRY.C U L8TR HUN!LOVE Yaxxx","ham"
"264","Jus finish bathing...","ham"
"265","Si.como no?!listened2the plaid album-quite gd&the new air1 which is hilarious-also bought?braindance?a comp.ofstuff on aphex?s ;abel,u hav2hear it!c u sn xxxx","ham"
"266","Yup n her fren lor. I'm meeting my fren at 730.","ham"
"267","HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.","ham"
"268","Talk sexy!! Make new friends or fall in love in the worlds most discreet text dating service. Just text VIP to 83110 and see who you could meet.","spam"
"269","Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.","ham"
"270","Or u ask they all if next sat can a not. If all of them can make it then i'm ok lor.","ham"
"271","Todays Voda numbers ending with 7634 are selected to receive a ù350 reward. If you have a match please call 08712300220 quoting claim code 7684 standard rates apply.","spam"
"272","Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com","spam"
"273","Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX","spam"
"274","Where r e meeting tmr?","ham"
"275","Esplanade lor. Where else...","ham"
"276","Haha... Hope Å can hear the receipt sound... Gd luck!","ham"
"277","accordingly. I repeat, just text the word ok on your mobile phone and send","spam"
"278","R Å going 4 today's meeting?","ham"
"279","Yup... Hey then one day on fri we can ask miwa and jiayin take leave go karaoke","ham"
"280","Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.","ham"
"281","Then mum's repent how?","ham"
"282","Lmao!nice 1","ham"
"283","Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?","ham"
"284","HI BABE UAWAKE?FEELLIKW SHIT.JUSTFOUND OUT VIA ALETTER THATMUM GOTMARRIED 4thNOV.BEHIND OURBACKS ? FUCKINNICE!SELFISH,DEVIOUSBITCH.ANYWAY,I?L CALL U","ham"
"285","But really quite funny lor wat... Then u shd haf run shorter distance wat...","ham"
"286","Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry","ham"
"287","Loan for any purpose ù500 - ù75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'","spam"
"288","I might go 2 sch. Yar at e salon now v boring.","ham"
"289","Ok but tell me half an hr b4 u come i need 2 prepare.","ham"
"290","Forgot to tell Å smth.. Can Å like number the sections so that it's clearer..","ham"
"291","Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY ù10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg","spam"
"292","Dunno lei he neva say...","ham"
"293","Is xy in ur car when u picking me up?","ham"
"294","Can. Dunno wat to get 4 her...","ham"
"295","Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q","spam"
"296","Hey tmr meet at bugis 930 ?","ham"
"297","U in town alone?","ham"
"298","Ok... Thanx... Gd nite 2 Å too...","ham"
"299","HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX","ham"
"300","Is ur changes 2 da report big? Cos i've already made changes 2 da previous report.","ham"
"301","Jus finish my lunch on my way home lor... I tot u dun wan 2 stay in sch today...","ham"
"302","Eatin my lunch...","ham"
"303","R U &SAM P IN EACHOTHER. IF WE MEET WE CAN GO 2 MY HOUSE","ham"
"304","10 min later k...","ham"
"305","Hey! do u fancy meetin me at 4 at cha ? hav a lil beverage on me. if not txt or ring me and we can meet up l8r. quite tired got in at 3 v.pist ;) love Pete x x x","ham"
"306","URGENT!: Your Mobile No. was awarded a ù2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU","spam"
"307","How's ur paper?","ham"
"308","Horrible bf... I now v hungry...","ham"
"309","URGENT! We are trying to contact you. Last weekends draw shows that you have won a ù900 prize GUARANTEED. Call 09061701851. Claim code K61. Valid 12hours only","spam"
"310","Or Å go buy wif him then i meet Å later can?","ham"
"311","Ok.","ham"
"312","Is fujitsu s series lifebook good?","ham"
"313","We not watching movie already. Xy wants 2 shop so i'm shopping w her now.","ham"
"314","Anything lar then Å not going home 4 dinner?","ham"
